,Overall Pick,Teams,year,College,Seasons in NBA,# Games,Minutes Played,Points,Total Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Minutes Played per Game,Points per Game,Total Rebounds per Game,Assists per Game,Win Shares,Win Shares per 48 Minutes,Box +-,VORP,Height,Weight,First Position
213,38,CHI,2017,Oregon,5,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1,204.12363636363636,97.975872,Center
214,39,PHI,2017,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7,180.10909090909092,83.91452,Point Guard
215,40,NOP,2017,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1,198.12,100.243832,Shooting Guard
216,41,ATL,2017,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5,195.11818181818182,83.007336,Shooting Guard
217,42,UTA,2017,Indiana,5,151,3108,1590,890,201,.593,.359,.746,20.6,10.5,5.9,1.3,10.8,.167,1.7,2.9,183.11090909090908,112.490816,Center
218,44,NYK,2017,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9,195.11818181818182,95.25431999999999,Shooting Guard
219,45,HOU,2017,Oregon,5,261,7376,3752,796,515,.420,.351,.800,28.3,14.4,3.0,2.0,4.8,.031,-3.8,-3.4,201.12181818181818,102.0582,Small Forward
220,46,PHI,2017,SMU,5,251,4319,1410,860,261,.423,.370,.791,17.2,5.6,3.4,1.0,6.5,.073,-2.0,0.0,195.11818181818182,99.336648,Shooting Guard
221,48,MIL,2017,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5,192.11636363636364,97.52228,Shooting Guard
222,51,DEN,2017,Iowa State,5,251,6208,2583,568,904,.477,.387,.818,24.7,10.3,2.3,3.6,16.0,.123,0.2,3.5,186.11272727272728,83.007336,Point Guard
223,52,NOP,2017,Xavier,4,108,1520,619,165,114,.474,.333,.728,14.1,5.7,1.5,1.1,1.9,.061,-3.2,-0.4,192.11636363636364,88.904032,Shooting Guard
224,53,BOS,2017,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1,183.11090909090908,90.7184,Point Guard
225,54,PHO,2017,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0,207.12545454545457,105.233344,Power Forward
226,55,UTA,2017,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0,186.11272727272728,86.18248,Point Guard
227,56,BOS,2017,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0,198.12,89.811216,Shooting Guard
228,59,SAS,2017,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2,204.12363636363636,99.79024,Small Forward
229,1,PHI,2016,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.5,183.41109090909092,108.86207999999999,Point Guard
230,2,LAL,2016,Duke,6,349,11449,6374,1795,1293,.459,.364,.764,32.8,18.3,5.1,3.7,16.8,.071,-0.5,4.4,204.12363636363636,86.18248,Small Forward
231,3,BOS,2016,California,6,374,10614,5983,1836,703,.470,.375,.712,28.4,16.0,4.9,1.9,21.6,.098,0.0,5.3,198.12,101.151016,Shooting Guard
232,5,MIN,2016,Providence,5,231,5561,1889,766,950,.420,.305,.727,24.1,8.2,3.3,4.1,3.7,.032,-1.9,0.1,189.11454545454546,92.98636,Point Guard
233,6,NOP,2016,Oklahoma,6,438,12649,6946,1860,1055,.429,.401,.863,28.9,15.9,4.2,2.4,16.4,.062,0.3,7.2,192.11636363636364,99.79024,Shooting Guard
234,7,DEN,2016,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.3,6.0,189.11454545454546,97.52228,Point Guard
235,8,SAC,2016,Washington,6,276,5191,2159,1328,291,.459,.292,.666,18.8,7.8,4.8,1.1,6.3,.059,-2.2,-0.2,207.12545454545457,108.86207999999999,Power Forward
236,9,TOR,2016,Utah,6,390,7661,2675,2271,530,.628,.500,.512,19.6,6.9,5.8,1.4,26.4,.165,1.0,5.8,213.1290909090909,111.13004,Center
237,11,ORL,2016,Gonzaga,6,399,11276,5669,3619,1402,.533,.322,.728,28.3,14.2,9.1,3.5,34.0,.145,1.8,10.7,183.41109090909092,108.86207999999999,Center
239,14,CHI,2016,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.045,-1.8,0.2,192.11636363636364,99.79024,Shooting Guard
240,17,MEM,2016,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5,192.11636363636364,90.7184,Point Guard
241,18,DET,2016,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3,183.11090909090908,108.86207999999999,Power Forward
242,19,DEN,2016,Florida State,6,307,6366,3135,747,379,.430,.377,.807,20.7,10.2,2.4,1.2,8.7,.066,-1.2,1.2,192.11636363636364,84.821704,Shooting Guard
243,20,IND,2016,Michigan,6,296,8082,4306,1135,1160,.435,.334,.737,27.3,14.5,3.8,3.9,11.3,.067,-0.3,3.4,198.12,92.98636,Shooting Guard
244,21,ATL,2016,Saint Joseph's,6,283,5488,1713,922,521,.474,.281,.609,19.4,6.1,3.3,1.8,4.2,.037,-2.3,-0.4,195.11818181818182,95.25431999999999,Small Forward
245,22,CHO,2016,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7,198.12,92.98636,Shooting Guard
246,25,LAC,2016,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0,183.11090909090908,104.32616,Power Forward
247,27,TOR,2016,New Mexico State,6,366,10476,5453,2227,1057,.486,.326,.775,28.6,14.9,6.1,2.9,28.7,.131,1.4,9.0,207.12545454545457,104.32616,Power Forward
248,28,PHO,2016,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2,183.11090909090908,106.59412,Power Forward
249,29,SAS,2016,Washington,5,297,7436,3429,1737,1324,.451,.327,.755,25.0,11.5,5.8,4.5,13.6,.088,1.3,6.1,192.11636363636364,81.64656,Point Guard
250,30,GSW,2016,Vanderbilt,6,174,2464,835,559,125,.654,.259,.694,14.2,4.8,3.2,0.7,7.0,.137,-1.6,0.3,183.41109090909092,111.13004,Center
251,31,BOS,2016,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0,183.41109090909092,107.501304,Center
252,33,LAC,2016,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.4,.139,-1.4,0.3,204.12363636363636,99.336648,Power Forward
253,34,PHO,2016,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1,153.09272727272727,72.57472,Point Guard
254,36,MIL,2016,Virginia,6,325,9780,4991,1357,1550,.464,.377,.883,30.1,15.4,4.2,4.8,23.9,.118,1.1,7.7,195.11818181818182,103.872568,Point Guard
255,38,MIL,2016,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6,201.12181818181818,82.100152,Shooting Guard
256,42,UTA,2016,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4,192.11636363636364,96.615096,Point Guard
257,45,BOS,2016,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1,183.11090909090908,91.171992,Point Guard
258,46,DAL,2016,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2,210.12727272727273,117.93392,Center
259,47,ORL,2016,Maryland,6,230,3029,1140,404,125,.460,.298,.720,13.2,5.0,1.8,0.5,3.7,.059,-2.3,-0.2,204.12363636363636,94.80072799999999,Small Forward
260,49,DET,2016,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1,201.12181818181818,90.7184,Shooting Guard
261,50,IND,2016,Iowa State,6,274,3760,1581,536,214,.435,.401,.872,13.7,5.8,2.0,0.8,7.2,.092,-1.0,1.0,201.12181818181818,104.32616,Power Forward
262,52,UTA,2016,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0,207.12545454545457,106.59412,Power Forward
263,54,ATL,2016,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4,177.10727272727274,79.83219199999999,Point Guard
264,55,BRK,2016,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0,183.11090909090908,79.3786,Point Guard
265,56,DEN,2016,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1,201.12181818181818,88.45044,Shooting Guard
266,58,BOS,2016,Iowa State,5,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4,195.11818181818182,102.0582,Small Forward
267,60,UTA,2016,California,3,106,1639,549,228,126,.425,.203,.671,15.5,5.2,2.2,1.2,0.2,.006,-5.1,-1.3,195.11818181818182,89.811216,Point Guard
268,1,MIN,2015,Kentucky,7,451,15479,10401,5144,1383,.526,.396,.832,34.3,23.1,11.4,3.1,61.7,.191,4.8,26.6,183.41109090909092,112.490816,Center
269,2,LAL,2015,Ohio State,7,397,11625,7043,1424,2173,.420,.359,.775,29.3,17.7,3.6,5.5,12.7,.052,0.6,7.7,192.11636363636364,87.543256,Point Guard
270,3,PHI,2015,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0,183.11090909090908,122.46984,Center
272,8,DET,2015,Arizona,7,388,7695,2418,1206,556,.379,.299,.760,19.8,6.2,3.1,1.4,5.2,.032,-2.8,-1.6,198.12,109.76926399999999,Small Forward
273,9,CHO,2015,Wisconsin,7,377,7925,3541,1527,619,.429,.348,.743,21.0,9.4,4.1,1.6,15.3,.093,-0.3,3.4,210.12727272727273,108.86207999999999,Center
274,10,MIA,2015,Duke,7,303,7818,2513,1545,757,.413,.317,.638,25.8,8.3,5.1,2.5,7.7,.047,-2.1,-0.1,198.12,100.697424,Small Forward
275,11,IND,2015,Texas,7,431,12379,5485,2879,513,.489,.349,.768,28.7,12.7,6.7,1.2,33.3,.129,0.7,8.3,183.41109090909092,113.398,Center
276,12,UTA,2015,Kentucky,7,420,7579,3190,1795,444,.436,.336,.725,18.0,7.6,4.3,1.1,13.0,.083,-1.1,1.7,207.12545454545457,106.140528,Power Forward
277,13,PHO,2015,Kentucky,7,451,15141,10451,1752,2084,.453,.355,.869,33.6,23.2,3.9,4.6,26.2,.083,0.2,8.4,195.11818181818182,93.439952,Shooting Guard
