,Overall Pick,Teams,year,College,Seasons in NBA,# Games,Minutes Played,Points,Total Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Minutes Played per Game,Points per Game,Total Rebounds per Game,Assists per Game,Win Shares,Win Shares per 48 Minutes,Box +-,VORP,Height,Weight,First Position
353,8,DET,2013,Georgia,9,652,19002,7423,2050,1085,.418,.357,.807,29.1,11.4,3.1,1.7,33.1,.084,-0.8,5.9,195.11818181818182,92.532768,Shooting Guard
354,9,MIN,2013,Michigan,9,483,10249,4730,868,1508,.411,.344,.812,21.2,9.8,1.8,3.1,13.2,.062,-1.2,2.0,180.10909090909092,83.91452,Point Guard
355,10,POR,2013,Lehigh,9,560,17608,10638,1906,1871,.454,.398,.820,31.4,19.0,3.4,3.3,38.1,.104,1.2,14.2,189.11454545454546,86.18248,Shooting Guard
356,11,PHI,2013,Syracuse,8,391,9898,4023,1713,1701,.402,.255,.706,25.3,10.3,4.4,4.4,6.6,.032,-1.2,1.9,195.11818181818182,86.18248,Point Guard
357,12,OKC,2013,Pitt,9,636,17055,5945,4992,871,.587,.077,.550,26.8,9.3,7.8,1.4,52.9,.149,0.4,10.3,183.41109090909092,120.20188,Center
358,13,DAL,2013,Gonzaga,9,582,12915,5932,2976,1170,.477,.365,.777,22.2,10.2,5.1,2.0,34.2,.127,0.9,9.4,183.41109090909092,108.86207999999999,Center
359,14,UTA,2013,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0,198.12,101.151016,Small Forward
360,18,ATL,2013,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6,153.39290909090911,79.3786,Point Guard
361,20,CHI,2013,New Mexico,9,583,12745,3560,1330,659,.430,.394,.845,21.9,6.1,2.3,1.1,18.1,.068,-2.0,-0.1,198.12,96.615096,Shooting Guard
362,21,UTA,2013,Louisville,9,587,12211,4432,3409,778,.500,.361,.791,20.8,7.6,5.8,1.3,30.4,.120,0.3,7.2,183.11090909090908,114.305184,Center
363,22,BRK,2013,Duke,9,630,14032,5294,4124,1506,.582,.050,.561,22.3,8.4,6.5,2.4,42.0,.144,1.3,11.7,183.41109090909092,115.212368,Center
364,23,IND,2013,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3,198.12,102.511792,Small Forward
365,24,NYK,2013,Michigan,9,586,15837,8149,1650,1095,.422,.358,.812,27.0,13.9,2.8,1.9,26.0,.079,-0.8,4.9,195.11818181818182,92.98636,Shooting Guard
366,25,LAC,2013,UNC,9,409,8896,3095,990,486,.430,.386,.839,21.8,7.6,2.4,1.2,16.4,.088,-0.8,2.7,198.12,92.98636,Small Forward
367,26,MIN,2013,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3,201.12181818181818,95.25431999999999,Shooting Guard
368,29,OKC,2013,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6,195.11818181818182,90.7184,Shooting Guard
369,31,CLE,2013,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9,195.11818181818182,96.161504,Shooting Guard
370,33,CLE,2013,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0,198.12,91.171992,Shooting Guard
371,34,HOU,2013,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5,180.10909090909092,91.171992,Point Guard
372,35,PHI,2013,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2,198.12,93.439952,Shooting Guard
373,36,SAC,2013,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4,189.11454545454546,86.18248,Point Guard
374,37,DET,2013,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0,204.12363636363636,106.59412,Power Forward
375,38,WAS,2013,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2,192.11636363636364,86.18248,Point Guard
376,39,POR,2013,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3,210.12727272727273,104.779752,Center
377,40,POR,2013,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1,183.11090909090908,106.59412,Power Forward
378,41,MEM,2013,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2,195.11818181818182,86.636072,Shooting Guard
379,42,PHI,2013,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1,153.09272727272727,81.64656,Point Guard
380,43,MIL,2013,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4,201.12181818181818,88.45044,Shooting Guard
381,44,DAL,2013,Bucknell,9,429,6649,2645,1357,376,.458,.377,.847,15.5,6.2,3.2,0.9,16.7,.120,0.2,3.7,183.11090909090908,108.86207999999999,Center
382,46,UTA,2013,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2,192.11636363636364,83.91452,Point Guard
383,48,LAL,2013,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5,183.41109090909092,104.32616,Power Forward
384,50,ATL,2013,Cal State Long Beach,8,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9,198.12,97.52228,Small Forward
385,52,MIN,2013,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5,195.11818181818182,85.728888,Point Guard
386,56,DET,2013,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2,180.10909090909092,83.91452,Shooting Guard
387,1,NOH,2012,Kentucky,10,594,20453,14158,6055,1376,.514,.304,.796,34.4,23.8,10.2,2.3,90.1,.211,6.0,41.4,183.11090909090908,114.758776,Power Forward
389,3,WAS,2012,Florida,10,645,22418,14231,2641,2701,.456,.372,.821,34.8,22.1,4.1,4.2,49.4,.106,1.7,21.0,192.11636363636364,93.893544,Shooting Guard
390,4,CLE,2012,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4,189.11454545454546,97.52228,Shooting Guard
391,5,SAC,2012,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6,183.11090909090908,107.501304,Power Forward
392,6,POR,2012,Weber State,10,711,25835,17510,2976,4726,.437,.373,.893,36.3,24.6,4.2,6.6,94.5,.176,4.7,43.8,186.11272727272728,88.45044,Point Guard
393,7,GSW,2012,UNC,10,716,22724,10061,3664,1301,.451,.379,.803,31.7,14.1,5.1,1.8,42.3,.089,-0.8,6.6,204.12363636363636,102.0582,Power Forward
394,8,TOR,2012,Washington,10,649,16232,7385,1862,812,.418,.364,.839,25.0,11.4,2.9,1.3,23.7,.070,-0.8,4.9,198.12,93.439952,Shooting Guard
395,9,DET,2012,UConn,10,689,20632,9624,9224,950,.538,.133,.471,29.9,14.0,13.4,1.4,65.1,.151,1.3,17.1,183.11090909090908,126.552168,Center
396,10,NOH,2012,Duke,10,624,15136,5578,1304,1388,.418,.350,.647,24.3,8.9,2.1,2.2,13.4,.042,-3.0,-3.9,192.11636363636364,90.7184,Shooting Guard
397,11,POR,2012,Illinois,9,447,7158,2502,1737,395,.482,.390,.809,16.0,5.6,3.9,0.9,15.5,.104,-1.4,1.1,210.12727272727273,117.93392,Center
398,12,HOU,2012,UConn,10,553,11525,5659,2006,871,.441,.344,.858,20.8,10.2,3.6,1.6,26.6,.111,0.7,8.0,195.11818181818182,81.64656,Shooting Guard
399,13,PHO,2012,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1,192.11636363636364,90.7184,Point Guard
400,14,MIL,2012,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4,207.12545454545457,99.336648,Center
401,15,PHI,2012,St. John's,10,607,13758,4170,2158,565,.473,.318,.621,22.7,6.9,3.6,0.9,22.5,.079,-0.8,4.1,201.12181818181818,99.79024,Small Forward
402,17,DAL,2012,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0,210.12727272727273,114.758776,Center
403,18,HOU,2012,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6,207.12545454545457,114.305184,Power Forward
404,19,ORL,2012,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6,207.12545454545457,113.398,Power Forward
405,21,BOS,2012,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7,207.12545454545457,117.93392,Power Forward
406,23,ATL,2012,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1,192.11636363636364,97.52228,Shooting Guard
407,24,CLE,2012,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6,192.11636363636364,88.45044,Shooting Guard
408,25,MEM,2012,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1,198.12,92.98636,Point Guard
409,28,OKC,2012,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6,183.41109090909092,106.59412,Small Forward
410,29,CHI,2012,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0,186.11272727272728,85.728888,Shooting Guard
411,31,CHA,2012,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5,201.12181818181818,102.0582,Small Forward
412,31,CHA,2012,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5,192.11636363636364,79.3786,Shooting Guard
413,42,HOU,1982,Texas Tech,2,56,818,179,82,113,.412,.000,.696,14.6,3.2,1.5,2.0,-0.1,-.008,-3.0,-0.2,201.12181818181818,102.0582,Small Forward
414,42,HOU,1982,Texas Tech,2,56,818,179,82,113,.412,.000,.696,14.6,3.2,1.5,2.0,-0.1,-.008,-3.0,-0.2,192.11636363636364,79.3786,Shooting Guard
415,33,CLE,2012,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0,183.11090909090908,108.86207999999999,Center
416,34,CLE,2012,Marquette,10,707,17772,6785,2977,1112,.419,.347,.778,25.1,9.6,4.2,1.6,38.2,.103,0.3,10.2,198.12,106.59412,Small Forward
417,35,GSW,2012,Michigan State,10,673,19201,5882,4672,3663,.440,.315,.710,28.5,8.7,6.9,5.4,52.2,.131,2.7,22.9,198.12,104.32616,Power Forward
418,36,SAC,2012,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1,195.11818181818182,99.79024,Shooting Guard
419,37,TOR,2012,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1,201.12181818181818,108.86207999999999,Power Forward
420,38,DEN,2012,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5,207.12545454545457,95.25431999999999,Power Forward
421,39,DET,2012,Texas A&M,10,625,19828,10603,3036,2315,.459,.394,.880,31.7,17.0,4.9,3.7,48.7,.118,0.7,13.6,201.12181818181818,100.697424,Small Forward
422,40,POR,2012,Memphis,10,594,15213,6849,2520,1606,.433,.354,.786,25.6,11.5,4.2,2.7,25.2,.079,-0.1,7.2,198.12,82.100152,Shooting Guard
423,41,POR,2012,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8,189.11454545454546,83.91452,Point Guard
424,42,MIL,2012,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2,192.11636363636364,95.25431999999999,Shooting Guard
425,43,ATL,2012,Virginia,9,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6,201.12181818181818,107.501304,Power Forward
426,44,DET,2012,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2,198.12,90.7184,Shooting Guard
427,45,PHI,2012,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5,210.12727272727273,117.93392,Center
428,46,NOH,2012,Kentucky,6,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.5,.059,-2.3,-0.4,198.12,102.0582,Small Forward
429,49,ORL,2012,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0,207.12545454545457,113.398,Center
430,51,BOS,2012,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1,201.12181818181818,95.25431999999999,Small Forward
431,55,DAL,2012,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1,186.11272727272728,97.52228,Shooting Guard
432,58,MIN,2012,Purdue,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4,204.12363636363636,97.52228,Small Forward
433,60,LAL,2012,Gonzaga,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4,210.12727272727273,122.46984,Center
434,1,CLE,2011,Duke,11,590,19994,13489,2253,3379,.470,.391,.882,33.9,22.9,3.8,5.7,69.5,.167,4.6,33.1,186.11272727272728,88.45044,Point Guard
435,2,MIN,2011,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8,204.12363636363636,108.86207999999999,Power Forward
436,4,CLE,2011,Texas,11,703,19114,6433,5993,709,.518,.278,.607,27.2,9.2,8.5,1.0,46.6,.117,-1.7,1.5,207.12545454545457,115.212368,Power Forward
437,8,DET,2011,Kentucky,9,449,13191,6299,1384,1777,.411,.353,.807,29.4,14.0,3.1,4.0,11.7,.043,-1.6,1.5,186.11272727272728,82.553744,Point Guard
438,9,CHA,2011,UConn,11,733,24492,14356,2799,3889,.419,.361,.840,33.4,19.6,3.8,5.3,59.3,.116,2.8,29.8,180.10909090909092,83.460928,Point Guard
439,10,MIL,2011,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4,186.11272727272728,88.45044,Shooting Guard
440,11,GSW,2011,Washington State,9,624,20548,12137,2160,1440,.459,.418,.849,32.9,19.5,3.5,2.3,47.1,.110,0.8,14.4,198.12,97.52228,Shooting Guard
441,12,UTA,2011,Colorado,11,593,13380,6246,2023,1150,.418,.376,.798,22.6,10.5,3.4,1.9,23.4,.084,-0.7,4.5,198.12,97.068688,Shooting Guard
442,13,PHO,2011,Kansas,11,708,17613,7770,3697,1144,.446,.341,.777,24.9,11.0,5.2,1.6,27.0,.073,-1.4,2.8,207.12545454545457,111.13004,Power Forward
443,14,HOU,2011,Kansas,11,691,18699,8511,3196,1029,.435,.378,.768,27.1,12.3,4.6,1.5,35.3,.091,-0.5,7.0,204.12363636363636,98.883056,Power Forward
444,15,IND,2011,San Diego State,10,576,18025,11085,3689,1672,.493,.384,.858,31.3,19.2,6.4,2.9,83.3,.222,6.9,40.4,201.12181818181818,102.0582,Small Forward
445,16,PHI,2011,USC,11,710,21850,11969,7404,1952,.493,.354,.756,30.8,16.9,10.4,2.7,57.3,.126,2.3,23.7,183.11090909090908,117.93392,Center
446,17,NYK,2011,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9,195.11818181818182,97.52228,Shooting Guard
447,18,WAS,2011,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8,204.12363636363636,104.32616,Small Forward
448,19,CHA,2011,Tennessee,11,720,22476,11802,4462,1625,.475,.366,.829,31.2,16.4,6.2,2.3,56.4,.120,1.2,18.0,204.12363636363636,102.511792,Power Forward
449,21,POR,2011,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8,186.11272727272728,83.91452,Point Guard
451,24,OKC,2011,Boston College,11,676,17137,8709,2012,2854,.426,.346,.855,25.4,12.9,3.0,4.2,33.6,.094,0.2,9.4,186.11272727272728,94.347136,Point Guard
452,25,BOS,2011,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4,195.11818181818182,90.7184,Shooting Guard
453,26,DAL,2011,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0,201.12181818181818,99.79024,Small Forward
454,28,CHI,2011,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1,186.11272727272728,79.3786,Point Guard
455,29,SAS,2011,Texas,11,701,15453,4953,1801,2095,.445,.342,.779,22.0,7.1,2.6,3.0,27.9,.087,-1.0,4.0,189.11454545454546,90.7184,Point Guard
456,30,CHI,2011,Marquette,11,665,22023,11708,3522,2724,.460,.324,.841,33.1,17.6,5.3,4.1,90.5,.197,4.7,37.2,201.12181818181818,104.32616,Small Forward
457,32,CLE,2011,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2,183.11090909090908,102.0582,Power Forward
458,33,DET,2011,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9,204.12363636363636,103.418976,Small Forward
459,34,WAS,2011,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1,189.11454545454546,92.079176,Point Guard
460,35,SAC,2011,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1,204.12363636363636,85.275296,Small Forward
461,37,LAC,2011,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1,183.11090909090908,111.13004,Center
462,38,HOU,2011,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2,207.12545454545457,104.32616,Small Forward
463,40,MIL,2011,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0,183.11090909090908,103.418976,Power Forward
464,41,LAL,2011,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2,192.11636363636364,86.18248,Point Guard
465,43,CHI,2011,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1,195.11818181818182,90.7184,Shooting Guard
466,44,GSW,2011,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8,189.11454545454546,99.79024,Point Guard
467,45,NOH,2011,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4,183.11090909090908,124.7378,Center
468,46,LAL,2011,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3,189.11454545454546,90.7184,Shooting Guard
469,49,MEM,2011,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6,186.11272727272728,83.007336,Point Guard
470,50,PHI,2011,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1,207.12545454545457,117.93392,Power Forward
471,53,ORL,2011,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1,198.12,94.80072799999999,Shooting Guard
472,55,BOS,2011,Purdue,10,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2,189.11454545454546,86.636072,Shooting Guard
473,60,SAC,2011,Washington,11,533,15344,9574,1300,2614,.434,.362,.872,28.8,18.0,2.4,4.9,45.0,.141,2.2,16.2,177.10727272727274,83.91452,Point Guard
474,1,WAS,2010,Kentucky,10,613,21833,11702,2612,5557,.431,.323,.779,35.6,19.1,4.3,9.1,44.1,.097,2.4,24.0,189.11454545454546,95.25431999999999,Point Guard
475,2,PHI,2010,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5,198.12,99.79024,Small Forward
476,3,NJN,2010,Georgia Tech,12,782,19045,8306,5569,850,.533,.202,.663,24.4,10.6,7.1,1.1,59.9,.151,0.9,13.9,207.12545454545457,120.20188,Power Forward
477,4,MIN,2010,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2,201.12181818181818,97.52228,Small Forward
478,5,SAC,2010,Kentucky,11,627,19128,12551,6518,1929,.459,.330,.737,30.5,20.0,10.4,3.1,46.0,.115,2.5,21.6,183.11090909090908,122.46984,Center
479,6,GSW,2010,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8,183.11090909090908,111.13004,Center
480,7,DET,2010,Georgetown,10,637,17556,8354,5260,1366,.514,.059,.704,27.6,13.1,8.3,2.1,50.0,.137,1.4,15.3,183.41109090909092,120.20188,Center
481,8,LAC,2010,Wake Forest,11,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.5,204.12363636363636,99.79024,Power Forward
482,9,UTA,2010,Butler,12,730,22757,11439,3290,2567,.454,.372,.826,31.2,15.7,4.5,3.5,60.4,.127,2.0,23.0,201.12181818181818,102.0582,Small Forward
483,10,IND,2010,Fresno State,12,732,24588,14916,4707,2607,.436,.381,.849,33.6,20.4,6.4,3.6,76.2,.149,4.1,37.6,204.12363636363636,99.79024,Small Forward
484,12,MEM,2010,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7,198.12,99.79024,Small Forward
485,13,TOR,2010,UNC,12,706,13687,4284,4595,535,.567,.000,.584,19.4,6.1,6.5,0.8,43.1,.151,-0.2,6.2,207.12545454545457,98.883056,Power Forward
486,14,HOU,2010,Kentucky,11,719,14923,4782,2799,736,.447,.369,.755,20.8,6.7,3.9,1.0,31.9,.102,0.0,7.4,204.12363636363636,106.59412,Power Forward
487,15,MIL,2010,VCU,6,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1,183.41109090909092,106.59412,Center
488,16,MIN,2010,Nevada,8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1,207.12545454545457,102.0582,Small Forward
489,18,OKC,2010,Kentucky,12,754,20977,10328,2928,3535,.452,.336,.784,27.8,13.7,3.9,4.7,46.3,.106,1.6,18.9,183.11090909090908,97.068688,Point Guard
490,19,BOS,2010,Texas,12,641,17770,7179,1829,1095,.434,.364,.782,27.7,11.2,2.9,1.7,17.0,.046,-2.4,-1.6,189.11454545454546,81.64656,Shooting Guard
491,20,SAS,2010,Oklahoma State,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8,198.12,96.615096,Shooting Guard
492,21,OKC,2010,Iowa State,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.9,-0.2,183.11090909090908,104.32616,Power Forward
493,22,POR,2010,Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1,195.11818181818182,86.18248,Shooting Guard
494,23,MIN,2010,Clemson,8,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2,204.12363636363636,103.418976,Power Forward
495,24,ATL,2010,Texas,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-3.7,-0.3,201.12181818181818,102.0582,Small Forward
496,25,MEM,2010,South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-2.4,-0.1,192.11636363636364,97.52228,Shooting Guard
497,26,OKC,2010,Washington,7,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3,201.12181818181818,104.32616,Small Forward
498,27,NJN,2010,Xavier,6,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3,192.11636363636364,88.45044,Shooting Guard
500,29,ORL,2010,Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-3.5,-0.2,183.11090909090908,115.66596,Center
501,30,WAS,2010,Marquette,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.2,-0.3,198.12,102.0582,Small Forward
502,33,SAC,2010,Marshall,10,486,12196,6255,5315,315,.583,.308,.606,25.1,12.9,10.9,0.6,49.4,.194,2.4,13.7,210.12727272727273,120.20188,Center
503,34,POR,2010,Nevada,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-4.1,-0.2,189.11454545454546,88.45044,Point Guard
504,38,NYK,2010,Syracuse,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-13.2,-0.1,192.11636363636364,86.18248,Shooting Guard
505,39,NYK,2010,Stanford,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.3,2.6,201.12181818181818,95.25431999999999,Small Forward
506,40,IND,2010,Cincinnati,10,529,12224,4500,2183,1529,.444,.313,.686,23.1,8.5,4.1,2.9,17.0,.067,-1.3,2.3,198.12,104.32616,Shooting Guard
507,43,LAL,2010,West Virginia,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5,207.12545454545457,97.52228,Shooting Guard
